lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47795E+20,2022,Heinen-O'Connor-Kapanen,PIT,line,5on5,2,913,8,0.43,0.54,0.55,7.73,0.88,0.57,1.93,0.26,4.33,3.04,0.86,0.86,0.84,8,3,4,15,0,1,0,0,0,3,7,8,11,0,0,9,12,3,0,7,3,1,0.22,0.43,0.23,0,0,0,15.47,11,11.35,0,0.12,0.14,0.14,0.85,0.84,0.83,7.21,1.18,0.44,1.81,0.22,3.04,2.3,0.92,1.2,0.93,8,1,4,13,1,2,1,3,0,1,2,7,8,0,0,8,4,1,1,6,1,2,0.19,0.15,0.85,0,0,1,12.81,9,8.7,1,0.09,0.85,0.85,0.43,0.43,0.41
8.47693E+13,2022,Mccabe-Liljegren,TOR,pairing,5on5,14,4405,94,0.53,0.56,0.53,35.11,4.03,2.52,7.89,1.2,18.02,13.34,3.88,4.22,4.06,29,18,21,68,6,6,1,5,0,12,18,23,41,3,6,35,14,5,18,28,16,3,0.94,2.13,0.97,3,3,0,69.88,47,48.35,13,0.54,1.15,1.15,3.42,3.53,3.44,30.87,3.65,2.12,7.59,1.02,15.08,11.55,3.36,3.57,3.29,30,11,12,53,3,8,1,4,0,11,15,27,38,1,2,32,37,10,11,26,9,6,0.63,1.24,1.78,0,2,1,51.67,41,40.21,9,0.45,1.8,1.8,2.3,2.27,2.24
8.47421E+13,2022,Holden-Kleven,OTT,pairing,5on5,5,1241,28,0.3,0.5,0.43,6.7,0.51,0.41,1.87,0.23,3.45,2.53,0.51,0.5,0.5,7,2,6,15,0,0,0,3,0,2,4,7,9,1,2,14,14,1,8,7,1,1,0.2,0.09,0.22,0,0,0,14.6,9,8.88,4,0.09,0,0,0.6,0.59,0.59,8.84,1.17,0.61,1.93,0.27,4.65,3.36,1.1,1.25,1.18,10,2,3,15,2,1,0,4,1,2,2,8,10,2,4,9,12,2,1,7,3,2,0.28,0.38,0.51,1,1,0,16.05,12,12.87,1,0.13,0.28,0.28,1.02,1.09,1.08
8.47685E+13,2022,Rielly-Sandin,TOR,pairing,5on5,35,2872,282,0.61,0.55,0.55,26.34,2.49,1.83,5.96,0.79,14.29,10.65,2.39,2.55,2.45,27,9,10,46,1,4,0,6,2,8,15,26,35,1,2,4,16,7,10,27,7,2,0.94,0.97,0.58,1,0,0,47.37,36,37.25,7,0.38,1.04,0.76,2.12,2.16,2.15,21.66,1.59,1.45,5.15,0.69,10.94,9.19,1.56,1.56,1.53,20,9,9,38,1,1,0,3,3,7,14,19,28,4,8,14,27,7,5,23,5,1,0.58,0.63,0.37,1,0,0,37.34,29,28.6,3,0.3,0.37,0.37,1.51,1.46,1.44
8.47517E+20,2022,Neighbours-Schenn-Barbashev,STL,line,5on5,9,1091,117,0.18,0.24,0.28,3.5,0.17,0.23,0.9,0.11,2.14,1.45,0.17,0.16,0.16,3,2,2,7,1,0,0,2,0,0,2,2,4,0,0,4,10,3,3,5,0,0,0.17,0,0,1,0,0,6.7,5,4.8,3,0.05,0,0,0.22,0.21,0.21,9.38,0.76,0.68,2.25,0.28,5.17,3.86,0.75,0.83,0.81,9,4,9,22,1,1,0,4,0,4,3,8,12,0,0,11,5,6,2,9,4,0,0.24,0.52,0,0,1,0,22.95,13,13.66,2,0.14,0.17,0.17,0.73,0.8,0.79
8.47488E+20,2022,Slafkovsky-Evans-Hoffman,MTL,line,5on5,5,1117,49,0.44,0.6,0.63,10.59,0.44,0.57,3.09,0.38,5.98,4.54,0.44,0.42,0.42,13,2,6,21,1,1,0,2,0,6,5,12,14,1,2,9,3,2,3,14,1,0,0.33,0.11,0,1,0,0,21.81,15,14.95,3,0.12,0.04,0.04,0.51,0.5,0.5,6.76,0.55,0.51,1.52,0.21,3.73,2.48,0.54,0.58,0.57,8,1,5,14,0,0,0,2,0,5,2,8,9,1,2,9,14,3,5,6,3,0,0.2,0.35,0,0,0,0,14.02,9,9.38,5,0.1,0,0,0.65,0.69,0.68
8.47952E+20,2022,Shaw-Dewar-Duhaime,MIN,line,5on5,10,651,112,0.83,0.79,0.88,9.95,0.53,0.84,2.65,0.39,5.6,3.99,0.52,0.51,0.49,9,5,1,15,0,2,0,1,1,4,6,9,14,1,2,4,7,1,1,12,2,0,0.31,0.22,0,0,0,0,14.2,14,13.26,1,0.17,0.22,0.22,0.48,0.46,0.45,1.52,0.11,0.12,0.52,0.04,0.73,0.48,0.09,0.12,0.1,2,0,2,4,0,0,0,0,0,2,0,2,2,2,4,3,8,1,0,2,0,0,0.11,0,0,0,0,0,4.19,2,2.2,0,0.03,0,0,0.14,0.15,0.12
8.47351E+20,2022,Norris-Giroux-Debrincat,OTT,line,5on5,8,4971,14,0.61,0.55,0.55,52.81,5.11,3.74,12.11,1.88,28.98,21.18,4.88,5.13,4.9,59,14,24,97,4,5,1,14,1,21,28,55,69,8,16,58,41,13,16,46,24,3,1.43,2.65,1.04,1,2,1,97.04,73,73.14,10,0.78,1.22,1.22,4.67,4.67,4.54,43.57,3.22,2.64,10.51,1.39,24.12,18.11,3.16,3.26,3.21,40,20,18,78,3,4,1,9,1,14,29,37,57,6,12,39,34,7,15,47,10,3,1.28,1.19,0.76,1,2,0,79.1,60,60.6,9,0.54,0.95,0.95,2.81,2.84,2.82
8.4706E+20,2022,Duclair-Staal-Lomberg,FLA,line,5on5,8,1529,75,0.29,0.29,0.3,9.53,0.72,0.69,2.29,0.27,5.42,3.62,0.71,0.69,0.69,10,3,4,17,3,0,0,1,0,4,5,7,10,3,6,18,19,1,2,9,4,0,0.23,0.49,0,1,2,0,16.51,13,12.57,0,0.14,0,0,0.86,0.83,0.82,22.34,1.76,1.43,6.14,0.79,12.1,8.78,1.69,1.91,1.83,17,14,10,41,2,2,1,2,0,18,7,15,29,1,2,16,8,2,4,26,3,2,0.77,0.48,0.51,1,0,1,44.33,31,33.74,3,0.3,0.31,0.31,1.74,1.88,1.85
8.47697E+13,2022,Kulak-Broberg,EDM,pairing,5on5,19,2932,157,0.52,0.56,0.54,23.82,2.17,1.63,4.83,0.72,12.93,9.72,2.15,2.16,2.14,25,7,13,45,1,0,0,8,0,8,15,24,31,4,8,18,17,4,10,24,7,1,0.8,1.08,0.29,0,1,0,46.05,32,32.64,5,0.33,0,0,2.5,2.49,2.48,20.49,2.03,1.25,5.23,0.63,10.02,7.86,1.95,2,1.93,23,4,9,36,3,2,1,5,0,9,8,20,24,4,8,27,24,7,7,20,4,3,0.59,0.58,0.85,2,0,1,34.48,27,26.08,1,0.26,0.56,0.56,1.72,1.68,1.67
